User ID,Studio Profile ID,Classification,Completeness Score,Reasons,Recommended Action,Metadata
tpwesj5w798bjzpvcarwp15u,cznrwn2scab99baclp2mk0bf,NEEDS_UPDATE,80,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
snkfrz2fxzdsg1jxdzriwpoe,sokvvkq5tuwwjqophkilmr2a,NEEDS_UPDATE,75,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
mnem5z43aihb8t0ypym8i2go,fvv43uktjw3w3azjo61dz1rn,NEEDS_UPDATE,70,"Missing key fields: social_links, services",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""social_links"",""services""]}"
bowxmz8gc0sflscw73u3zc8c,q01tux6u3x5jazq9ftnx1jpt,NEEDS_UPDATE,70,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
l9xv1q0am3xu12qcdam8r4sj,s8d3h184ae5i5nd65dl5i7c5,NEEDS_UPDATE,70,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
fiz48axmrn4aanjic2ncib0s,z80rkos0v8d8weyeo38wx35j,EXCEPTION,50,"Missing key fields: coordinates, website, social_links, services; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""social_links"",""services""],""geodata_issue"":""address_no_coords""}"
jyi4g9oba7gkt6cbhnx5qooa,vylxcgbxdz0vfid3c4qgqcqh,NEEDS_UPDATE,80,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
h0pvzaajfn67aj1o9nlte9nx,m8qrzkxaedynqov6laqv3cpx,NEEDS_UPDATE,80,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
ah9sy92zcdcc8jlwp4eda0ut,pifhm11y1o8lctvoumldm9ia,NEEDS_UPDATE,80,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
k0e1pwf0f1hje7b2lisdwmsb,sal4h8nk96jost9xs5ryp6ay,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
y2tgfyzv50x9eq7qes8to6kd,k1iv9cnwriuawskm3j0f76rm,NEEDS_UPDATE,70,"Missing key fields: social_links, services",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""social_links"",""services""]}"
x4bl8p75x6qvwkozve8dra1b,dzc9356ymcmry8ewowycipz0,NEEDS_UPDATE,80,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
swc5vhd7ojrn7c6lz2a1wyw2,p1w44vb8uwtbjdliu2umb38y,EXCEPTION,50,"Missing key fields: coordinates, website, social_links, services; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""social_links"",""services""],""geodata_issue"":""address_no_coords""}"
u1qn6hg7dzqnjbg8crsie89g,yvxwdk9hv9syltn13nej27jm,EXCEPTION,50,"Missing key fields: city, social_links, services; Has coordinates but missing city",Reverse geocode coordinates to fill city,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""social_links"",""services""],""geodata_issue"":""coords_no_city""}"
pct44zq1v9z5bkqfy8zt38mt,ls94yacclmnm8rcadmsyqci5,NEEDS_UPDATE,80,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
i9e5imbxaig0rwr30ww920g8,u2qkbi8oq8dichxqht3mi56o,EXCEPTION,70,"Missing key fields: city, services; Has coordinates but missing city",Reverse geocode coordinates to fill city,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""services""],""geodata_issue"":""coords_no_city""}"
lpupc0o7cba2ikx9cpvbina7,pwf4n103flgcg2cxhjcxc0xz,EXCEPTION,70,"Missing key fields: city, services; URL issues: twitter_url should be migrated to x_url; Has coordinates but missing city",Reverse geocode coordinates to fill city,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""],""geodata_issue"":""coords_no_city""}"
bz86vhthdmn7opr05y07nf5g,jdeswevslsj6ujckt0jxpm3d,EXCEPTION,50,"Missing key fields: coordinates, website, services; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""services""],""geodata_issue"":""address_no_coords""}"
wjnh2albaip7mplnruwihpyf,cmfpsfqd3002jzjd0vm4aeh49,EXCEPTION,60,"Missing key fields: coordinates, services; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""services""],""geodata_issue"":""address_no_coords""}"
ox38w1pt8oij81o6yjp0bgvu,l2q576ig477hmtht2zbnxph6,EXCEPTION,60,"Missing key fields: coordinates, website, services; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""services""],""geodata_issue"":""address_no_coords""}"
tyhtnlv26kmyygscb8kcmeuo,dhkg9kmnvn15xcxnxf86yyn5,NEEDS_UPDATE,70,"Missing key fields: services; URL issues: twitter_url: missing scheme, twitter_url should be migrated to x_url",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url: missing scheme"",""twitter_url should be migrated to x_url""]}"
gwac1xjii5hhd0eqyfhhwklj,l16uyisltpucnbwehjm20c96,NEEDS_UPDATE,75,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
